Timestamp,Value
0,394.44
1,397.62
2,396.07
3,396.77
4,394.17
5,399.96
6,405.05
7,404.93
8,403.96
9,400.19
10,400.08
11,402.52
12,402.25
13,402.49
14,400.33
15,395.66
16,392.92
17,395.52
18,393.55
19,395.69
20,396.64
21,395.6
22,394.59
23,398.3
24,397.98
25,396.88
26,395.34
27,395.04
28,392.66
29,390.57
30,396.54
31,395.64
32,400.52
33,395.67
34,393.83
35,394.96
36,397.02
37,397.62
38,397.68
39,395.51
40,396.44
41,395.48
42,392.82
43,394.96
44,395.62
45,397.4
46,399.85
47,400.48
48,398.05
49,393.53
50,391.77
51,392.45
52,392.04
53,392.41
54,391.32
55,396.18
56,394.13
57,395.03
58,401.66
59,401.75
60,397.99
61,399.9
62,398.71
63,399.21
64,396.11
65,397.79
66,397.38
67,394.33
68,392.85
69,395.38
70,393.56
71,397.2
72,399.73
73,399.71
74,403.31
75,396.9
76,395.56
77,396.47
78,398.4
79,395.63
80,396.51
81,398.33
82,400.99
83,398.75
84,396.14
85,398.41
86,399.54
87,395.6
88,398.49
89,400.29
90,397.54
91,397.63
92,395.18
93,398.55
94,396.92
95,397.16
96,398.01
97,397.7
98,400.03
99,399.99
100,396.56
101,394.95
102,398.82
103,397.68
104,396.91
105,393.15
106,396.96
107,402.29
108,401.02
109,400.07
110,395.41
111,391.67
112,395.79
113,395.8
114,393.31
115,390.45
116,392.87
117,392.89
118,392.8
119,393.55
120,391.59
121,393.74
122,396.1
123,395.99
124,394.52
125,397.36
126,393.42
127,391.51
128,395.2
129,393.75
130,390.41
131,389.44
132,390.88
133,395.83
134,397.63
135,396.28
136,398.29
137,400.77
138,398.92
139,399.64
140,397.16
141,397.71
142,394.62
143,394.22
144,395.38
145,391.56
146,397.13
147,393.98
148,394.74
149,398.99
150,396.68
151,392.02
152,395.4
153,394.97
154,396.12
155,399.4
156,401.22
157,402.49
158,398.73
159,398.93
160,396.14
161,397.41
162,399.55
163,396.91
164,394.46
165,391.32
166,396.58
167,393.07
168,390.9
169,391.94
170,395.65
171,397.52
172,396.52
173,398.53
174,402.01
175,399.55
176,401.31
177,400.74
178,396.0
179,393.92
180,393.21
181,397.29
182,398.58
183,397.44
184,400.57
185,397.5
186,397.71
187,398.43
188,398.35
189,397.9
190,399.24
191,399.13
192,394.66
193,393.94
194,395.52
195,394.94
196,390.71
197,395.54
198,391.86
199,392.01
200,393.9
201,394.81
202,398.64
203,395.18
204,395.76
205,396.29
206,395.91
207,399.59
208,393.13
209,391.75
210,394.25
211,393.01
212,393.38
213,395.4
214,394.89
215,398.19
216,395.82
217,399.83
218,401.58
219,400.61
220,395.44
221,397.01
222,395.63
223,393.51
224,394.28
225,393.33
226,392.27
227,393.25
228,395.53
229,392.36
230,396.9
231,392.56
232,392.12
233,391.46
234,394.38
235,395.59
236,394.29
237,397.64
238,399.0
239,399.59
240,396.54
241,393.65
242,397.06
243,398.06
244,396.84
245,398.03
246,400.53
247,398.09
248,394.56
249,396.79
250,393.9
251,394.1
252,391.42
253,390.25
254,392.77
255,393.14
256,395.66
257,393.44
258,394.63
259,399.54
260,399.31
261,394.87
262,393.98
263,399.85
264,394.79
265,395.43
266,399.81
267,400.67
268,398.57
269,393.54
270,391.49
271,394.0
272,390.26
273,392.27
274,391.45
275,392.97
276,390.16
277,391.51
278,393.41
279,395.92
280,400.59
281,397.63
282,399.89
283,398.92
284,397.45
285,399.79
286,395.25
287,395.8
288,400.22
289,399.31
290,393.77
291,396.83
292,394.22
293,394.49
294,396.05
295,396.97
296,396.7
297,395.95
298,395.01
299,394.75
300,397.91
301,400.36
302,400.49
303,396.17
304,400.64
305,396.25
306,399.69
307,397.5
308,398.71
309,394.92
310,398.31
311,393.49
312,392.26
313,400.35
314,397.49
315,393.4
316,396.61
317,394.78
318,394.91
319,393.69
320,398.97
321,400.77
322,397.72
323,398.14
324,394.88
325,398.87
326,397.51
327,392.91
328,392.81
329,393.36
330,392.58
331,393.32
332,392.15
333,398.18
334,393.4
335,398.9
336,398.53
337,403.31
338,404.01
339,398.32
340,400.09
341,402.42
342,397.29
343,399.58
344,397.23
345,399.15
346,397.17
347,397.91
348,394.74
349,394.59
350,400.4
351,401.71
352,395.37
353,395.56
354,394.46
355,391.42
356,395.35
357,394.84
358,397.85
359,395.41
360,401.48
361,399.14
362,394.86
363,393.96
364,400.53
365,397.78
366,397.47
367,396.69
368,401.33
369,401.55
370,400.98
371,398.95
372,395.05
373,399.57
374,398.32
375,399.69
376,398.99
377,397.28
378,399.58
379,395.22
380,392.87
381,396.59
382,395.87
383,391.85
384,393.99
385,393.25
386,391.71
387,391.81
388,396.47
389,395.6
390,399.7
391,395.69
392,391.94
393,395.75
394,397.78
395,397.77
396,395.66
397,397.33
398,402.21
399,403.27
400,397.68
401,396.41
402,391.26
403,390.95
404,391.26
405,394.95
406,395.71
407,397.86
408,398.92
409,399.44
410,397.44
411,395.17
412,392.64
413,392.15
414,393.57
415,397.41
416,397.55
417,397.33
418,403.01
419,397.53
420,396.32
421,393.11
422,395.54
423,395.65
424,396.52
425,395.83
426,394.33
427,395.95
428,397.4
429,393.64
430,395.74
431,395.98
432,393.31
433,397.95
434,400.57
435,401.61
436,398.32
437,397.4
438,393.55
439,394.5
440,399.36
441,397.31
442,400.3
443,401.06
444,396.6
445,398.09
446,395.66
447,396.34
448,399.54
449,398.01
450,399.82
451,396.67
452,394.63
453,397.13
454,396.9
455,399.17
456,398.49
457,398.0
458,396.31
459,395.82
460,391.52
461,393.11
462,390.84
463,390.21
464,395.55
465,395.87
466,394.46
467,400.14
468,396.26
469,393.49
470,392.56
471,394.32
472,394.45
473,394.83
474,392.05
475,392.72
476,398.02
477,395.52
478,393.85
479,397.18
480,395.83
481,394.43
482,397.62
483,394.68
484,395.07
485,397.19
486,394.43
487,396.72
488,398.86
489,398.21
490,398.73
491,395.44
492,397.41
493,396.96
494,395.6
495,399.3
496,396.87
497,398.05
498,398.84
499,395.8
500,398.42
501,402.56
502,397.18
503,392.32
504,392.88
505,392.91
506,396.13
507,392.61
508,395.15
509,394.74
510,391.29
511,395.48
512,395.63
513,393.62
514,397.14
515,399.91
516,400.03
517,400.5
518,394.27
519,391.72
520,392.33
521,392.88
522,395.11
523,392.41
524,390.43
525,394.77
526,394.32
527,390.85
528,393.82
529,393.46
530,396.65
531,395.11
532,398.52
533,401.22
534,401.7
535,398.47
536,397.49
537,401.31
538,398.25
539,397.55
540,394.04
541,395.49
542,398.64
543,401.99
544,396.94
545,396.39
546,393.56
547,397.71
548,394.24
549,393.0
550,393.98
551,390.55
552,388.84
553,394.54
554,392.38
555,395.12
556,395.72
557,395.07
558,398.49
559,399.8
560,397.86
561,395.03
562,392.06
563,391.13
564,392.68
565,392.59
566,395.84
567,398.74
568,394.14
569,394.75
570,395.6
571,391.9
572,396.94
573,399.29
574,396.26
575,395.29
576,397.72
577,399.45
578,397.46
579,395.89
580,391.97
581,396.78
582,398.09
583,399.97
584,396.26
585,396.29
586,395.3
587,397.43
588,396.67
589,400.23
590,398.52
591,393.51
592,396.28
593,396.9
594,399.17
595,394.19
596,392.77
597,397.15
598,395.11
599,392.71
600,393.91
601,396.41
602,396.28
603,396.7
604,395.65
605,398.63
606,398.18
607,394.51
608,393.26
609,392.93
610,393.14
611,398.36
612,398.82
613,395.69
614,392.95
615,395.75
616,398.29
617,400.48
618,398.16
619,395.6
620,396.0
621,399.04
622,399.12
623,396.46
624,394.11
625,391.12
626,387.97
627,390.63
628,388.89
629,388.67
630,391.84
631,396.4
632,394.27
633,395.72
634,397.38
635,399.14
636,401.98
637,399.74
638,395.13
639,392.02
640,394.21
641,394.08
642,399.02
643,396.3
644,396.51
645,399.24
646,398.44
647,395.86
648,391.65
649,391.69
650,390.51
651,395.52
652,397.06
653,395.75
654,395.09
655,392.1
656,394.95
657,392.82
658,395.97
659,399.52
660,396.4
661,395.17
662,396.15
663,398.93
664,403.16
665,398.23
666,400.14
667,397.96
668,400.89
669,397.0
670,392.42
671,394.64
672,395.24
673,395.99
